Date,Price,Open,High,Low,Vol.,Change %
9/27/2022,"22,400.00","22,450.00","22,500.00","22,100.00",9.01M,0.00%
9/26/2022,"22,400.00","22,450.00","22,600.00","21,850.00",25.88M,-1.32%
9/23/2022,"22,700.00","23,050.00","23,200.00","22,700.00",14.59M,-1.30%
9/22/2022,"23,000.00","22,700.00","23,100.00","22,650.00",11.59M,0.44%
9/21/2022,"22,900.00","22,900.00","22,950.00","22,700.00",9.92M,-0.43%
9/20/2022,"23,000.00","22,800.00","23,000.00","22,600.00",11.51M,1.55%
9/19/2022,"22,650.00","23,100.00","23,250.00","22,450.00",27.48M,-1.52%
9/16/2022,"23,000.00","23,400.00","23,600.00","23,000.00",27.51M,-2.54%
9/15/2022,"23,600.00","23,900.00","23,900.00","23,450.00",13.73M,-0.42%
9/14/2022,"23,700.00","23,250.00","23,800.00","23,250.00",27.03M,0.00%
9/13/2022,"23,700.00","23,750.00","24,000.00","23,500.00",14.68M,-0.42%
9/12/2022,"23,800.00","23,900.00","24,300.00","23,800.00",26.17M,0.00%
9/9/2022,"23,800.00","23,350.00","23,800.00","23,100.00",26.05M,3.03%
9/8/2022,"23,100.00","23,200.00","23,450.00","22,900.00",20.37M,0.43%
9/7/2022,"23,000.00","23,550.00","23,800.00","23,000.00",25.03M,-2.34%
9/6/2022,"23,550.00","24,000.00","24,200.00","23,550.00",15.33M,-1.46%
9/5/2022,"23,900.00","23,050.00","24,100.00","23,050.00",26.28M,3.91%
8/31/2022,"23,000.00","23,000.00","23,150.00","22,750.00",14.98M,-0.22%
8/30/2022,"23,050.00","23,100.00","23,300.00","22,950.00",15.31M,0.22%
8/29/2022,"23,000.00","23,050.00","23,250.00","22,650.00",32.47M,-2.13%
8/26/2022,"23,500.00","24,000.00","24,000.00","23,500.00",16.47M,-1.47%
8/25/2022,"23,850.00","23,750.00","24,050.00","23,600.00",18.26M,1.49%
8/24/2022,"23,500.00","23,650.00","23,750.00","23,500.00",12.13M,-0.63%
8/23/2022,"23,650.00","23,100.00","23,650.00","23,100.00",16.69M,1.28%
8/22/2022,"23,350.00","23,650.00","23,750.00","23,150.00",23.80M,-1.68%
8/19/2022,"23,750.00","24,100.00","24,250.00","23,650.00",31.46M,-1.66%
8/18/2022,"24,150.00","24,100.00","24,350.00","24,050.00",23.22M,-0.62%
8/17/2022,"24,300.00","24,600.00","24,650.00","24,150.00",27.44M,-1.02%
8/16/2022,"24,550.00","24,000.00","24,700.00","24,000.00",65.49M,2.29%
8/15/2022,"24,000.00","24,100.00","24,200.00","23,800.00",31.51M,0.21%
8/12/2022,"23,950.00","23,300.00","24,050.00","23,250.00",33.80M,2.35%
8/11/2022,"23,400.00","24,050.00","24,150.00","23,300.00",34.35M,-1.68%
8/10/2022,"23,800.00","24,000.00","24,400.00","23,800.00",30.12M,-1.24%
8/9/2022,"24,100.00","23,900.00","24,300.00","23,650.00",48.22M,2.12%
8/8/2022,"23,600.00","23,400.00","23,900.00","23,300.00",30.37M,1.29%
8/5/2022,"23,300.00","23,400.00","23,650.00","23,150.00",42.52M,-1.48%
8/4/2022,"23,650.00","23,900.00","23,950.00","23,500.00",30.03M,-0.42%
8/3/2022,"23,750.00","22,700.00","23,850.00","22,600.00",58.85M,3.71%
8/2/2022,"22,900.00","22,900.00","23,150.00","22,700.00",27.73M,0.44%
8/1/2022,"22,800.00","21,700.00","22,850.00","21,600.00",38.14M,6.05%
7/29/2022,"21,500.00","21,600.00","21,950.00","21,500.00",20.59M,0.47%
7/28/2022,"21,400.00","21,500.00","21,700.00","21,250.00",23.51M,0.71%
7/27/2022,"21,250.00","21,450.00","21,500.00","21,050.00",28.60M,-1.85%
7/26/2022,"21,650.00","21,800.00","22,000.00","21,600.00",26.38M,-1.14%
7/25/2022,"21,900.00","22,200.00","22,300.00","21,800.00",20.72M,-1.35%
7/22/2022,"22,200.00","22,700.00","22,800.00","22,200.00",16.64M,-2.20%
7/21/2022,"22,700.00","22,350.00","23,000.00","22,300.00",23.04M,1.57%
7/20/2022,"22,350.00","22,350.00","22,750.00","22,300.00",16.89M,0.90%
7/19/2022,"22,150.00","22,500.00","22,600.00","22,100.00",16.28M,-1.99%
7/18/2022,"22,600.00","23,200.00","23,300.00","22,500.00",19.93M,-2.59%
7/15/2022,"23,200.00","22,350.00","23,500.00","22,350.00",47.70M,4.50%
7/14/2022,"22,200.00","22,200.00","22,400.00","22,100.00",12.52M,-0.45%
7/13/2022,"22,300.00","22,200.00","22,800.00","22,150.00",17.86M,0.00%
